bm_protocol,bm_predicted_protocol,bm_order,bm_predicted_order,bm_comments,bm_predicted_comments,bm_score,index,ft_protocol,ft_predicted_protocol,ft_order,ft_predicted_order,ft_comments,ft_predicted_comments,ft_score
renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol,[],[],0.9,119,renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol inc CT abd and pelvis wo contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,120,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,['low pelvis'],[''],0.8,121,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,['low pelvis'],[],0.9
trauma,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],['oral contrast'],0.3,122,trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,123,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
rcc,rcc,CT RCC protocol inc CT dual abd and pelvis w wo contrast,CT abdomen and pelvis with contrast,[],['oral contrast'],0.8,124,rcc,rcc,CT RCC protocol inc CT dual abd and pelvis w wo contrast,CT RCC protocol inc CT dual abd and pelvis w wo contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,125,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,pancreas,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[''],0.4,126,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],['oral contrast'],0.8,127,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,128,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['low pelvis'],['oral contrast'],0.9,129,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['low pelvis'],[],0.9
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,130,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,131,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[''],0.9,132,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
gu,gu,CT GU protocol inc CT dual abd and pelvis with and without contrast,CT GU protocol with contrast,[],['oral contrast'],0.8,133,gu,gu,CT GU protocol inc CT dual abd and pelvis with and without contrast,CT GU protocol inc CT dual abd and pelvis with and without contrast,[],[],1.0
noncon,noncon,CT abdomen pelvis without contrast,CT abdomen pelvis noncon,[],[],0.9,134,noncon,noncon,CT abdomen pelvis without contrast,CT abdomen pelvis without contrast,[],[],1.0
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],[''],0.8,135,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,,CT abdomen pelvis with contrast,,[],,0.0,136,routine,crohns,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],0.5
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,137,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
gi bleed,dual liver,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT abdomen pelvis with and without contrast,[],['oral contrast'],0.3,138,gi bleed,gi bleed,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT occult GI bleed incl dual abdomen pelvis with and without contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,139,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,dual liver,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],['oral contrast'],0.3,140,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
pancreas,pancreas,CT dual pancreas incl CT abd pel w and CT chest w MIPS,CT chest abdomen pelvis with contrast,[],[''],0.8,141,pancreas,pancreas,CT dual pancreas incl CT abd pel w and CT chest w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],0.9
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,142,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
noncon,noncon,CT abdomen pelvis without contrast,CT abdomen pelvis with oral contrast,['oral contrast'],['oral contrast'],0.9,143,noncon,noncon,CT abdomen pelvis without contrast,CT abdomen pelvis without contrast,['oral contrast'],[],0.9
gi bleed,dual liver,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.4,144,gi bleed,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],0.5
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],[''],0.8,145,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,routine,CT pelvis with contrast,CT pelvis with contrast,['low pelvis'],[''],0.9,146,routine,routine,CT pelvis with contrast,CT pelvis with contrast,['low pelvis'],[],0.9
noncon,noncon,CT abdomen pelvis without contrast,CT abdomen pelvis noncon,[],[],0.9,147,noncon,noncon,CT abdomen pelvis without contrast,CT abdomen pelvis without contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,148,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol,[],[],0.9,149,renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol inc CT abd and pelvis wo contrast,[],[],1.0
routine,routine,CT abdomen with contrast,CT abdomen with contrast,[],[''],0.9,150,routine,routine,CT abdomen with contrast,CT abdomen with contrast,[],[],1.0
trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],[],0.9,151,trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],['oral contrast'],0.8,152,trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['md check for drain'],['oral contrast'],0.9,153,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['md check for drain'],[],0.9
trauma,trauma,CT chest abdomen pelvis level two trauma with contrast with MIPS protocol,CT chest abdomen pelvis with contrast,[],[''],0.8,154,trauma,trauma,CT chest abdomen pelvis level two trauma with contrast with MIPS protocol,CT chest abdomen pelvis level two trauma with contrast with MIPS protocol,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,155,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
gi bleed,dual liver,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT abdomen pelvis with and without contrast,[],['oral contrast'],0.3,156,gi bleed,gi bleed,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT occult GI bleed incl dual abdomen pelvis with and without contrast,[],[],1.0
gi bleed,GI bleed,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT abdomen pelvis with and without contrast,[],[],0.4,157,gi bleed,gi bleed,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT occult GI bleed incl dual abdomen pelvis with and without contrast,[],[],1.0
renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol,[],[],0.9,158,renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol inc CT abd and pelvis wo contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,159,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,160,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
gu,routine,CT abdomen pelvis with and without contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.3,161,gu,routine,CT abdomen pelvis with and without contrast,CT abdomen pelvis with contrast,[],[],0.4
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,162,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,163,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
cirrhosis,dual liver,CT cirrhosis abdomen only w contrast protocol,CT abdomen with contrast,[],['oral contrast'],0.3,164,cirrhosis,cirrhosis,CT cirrhosis abdomen only w contrast protocol,CT cirrhosis abdomen only w contrast protocol,[],[],1.0
renal stone,noncon,CT renal stone protocol inc CT abd and pelvis wo contrast,CT abdomen pelvis noncon,[],[],0.4,165,renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol inc CT abd and pelvis wo contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,166,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
pancreas,pancreas,CT dual pancreas protocol incl CT abd pel w contrast,CT dual pancreas protocol,[],[],0.9,167,pancreas,pancreas,CT dual pancreas protocol incl CT abd pel w contrast,CT dual pancreas protocol incl CT abd pel w contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,168,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],[''],0.8,169,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,170,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol,[],[''],0.8,171,renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol inc CT abd and pelvis wo contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,172,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
gi bleed,dual liver,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT abdomen pelvis with and without contrast,[],['oral contrast'],0.3,173,gi bleed,gi bleed,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT occult GI bleed incl dual abdomen pelvis with and without contrast,[],[],1.0
routine,,CT chest abdomen pelvis with contrast w MIPS,,[],,0.0,174,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['low pelvis'],['oral contrast'],0.9,175,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['low pelvis'],[],0.9
renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol,[],[],0.9,176,renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol inc CT abd and pelvis wo contrast,[],[],1.0
trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],[''],0.8,177,trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,crohns,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.4,178,routine,crohns,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],0.5
gu,dual liver,CT GU protocol inc CT dual abd and pelvis with and without contrast,CT abdomen and pelvis with and without contrast,[],['reroute coverage'],0.3,179,gu,gu,CT GU protocol inc CT dual abd and pelvis with and without contrast,CT GU protocol inc CT dual abd and pelvis with and without contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,180,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[''],0.9,181,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
noncon,noncon,CT chest abdomen pelvis without contrast with MIPS,CT chest abdomen pelvis without contrast with MIPS,[],['mips'],0.9,182,noncon,noncon,CT chest abdomen pelvis without contrast with MIPS,CT chest abdomen pelvis without contrast with MIPS,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,183,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,,CT abdomen pelvis with contrast,,[],,0.0,184,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,185,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,186,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
dual liver,dual liver,CT dual liver abdomen only w contrast protocol,CT abdomen with contrast,[],['oral contrast'],0.8,187,dual liver,dual liver,CT dual liver abdomen only w contrast protocol,CT dual liver abdomen only w contrast protocol,[],[],1.0
noncon,noncon,CT chest abdomen pelvis without contrast with MIPS,CT chest abdomen pelvis without contrast,[],[],0.9,188,noncon,noncon,CT chest abdomen pelvis without contrast with MIPS,CT chest abdomen pelvis without contrast with MIPS,[],[],1.0
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],[''],0.8,189,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
trauma,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],['oral contrast'],0.3,190,trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,noncon,CT chest abdomen pelvis without contrast with MIPS,CT chest abdomen pelvis without contrast,[],[],0.4,191,routine,noncon,CT chest abdomen pelvis without contrast with MIPS,CT chest abdomen pelvis without contrast with MIPS,[],[],0.5
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,192,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
trauma,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],['oral contrast'],0.3,193,trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
noncon,noncon,CT abdomen pelvis without contrast,CT abdomen pelvis noncon,[],['reroute contrast'],0.8,194,noncon,noncon,CT abdomen pelvis without contrast,CT abdomen pelvis without contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,195,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],[''],0.8,196,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
trauma,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],[''],0.3,197,trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,198,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
gu,trauma,CT GU protocol inc CT dual abd and pelvis with and without contrast,CT abdomen and pelvis with contrast,[],['oral contrast'],0.3,199,gu,gu,CT GU protocol inc CT dual abd and pelvis with and without contrast,CT GU protocol inc CT dual abd and pelvis with and without contrast,[],[],1.0
trauma,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],['oral contrast'],0.3,200,trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],[''],0.8,201,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
noncon,noncon,CT chest abdomen pelvis without contrast with MIPS,CT chest abdomen pelvis noncon,[],[''],0.8,202,noncon,noncon,CT chest abdomen pelvis without contrast with MIPS,CT chest abdomen pelvis without contrast with MIPS,[],[],1.0
gi bleed,dual liver,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT abdomen pelvis with and without contrast,[],['oral contrast'],0.3,203,gi bleed,gi bleed,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT occult GI bleed incl dual abdomen pelvis with and without contrast,[],[],1.0
crohns,crohns,ct ,CT abdomen pelvis with contrast,[],['oral contrast'],0.8,204,crohns,crohns,ct ,CT abdomen pelvis with contrast,[],[],0.9
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,205,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
noncon,noncon,CT abdomen pelvis without contrast,CT abdomen pelvis noncon,[],[],0.9,206,noncon,noncon,CT abdomen pelvis without contrast,CT abdomen pelvis without contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[''],0.9,207,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
pancreas,dual liver,CT dual pancreas protocol incl CT abd pel w contrast,CT dual liver protocol with contrast,[],['oral contrast'],0.3,208,pancreas,pancreas,CT dual pancreas protocol incl CT abd pel w contrast,CT dual pancreas protocol incl CT abd pel w contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['low pelvis'],['oral contrast'],0.9,209,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['low pelvis'],[],0.9
gi bleed,dual liver,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT abdomen pelvis with and without contrast,[],['oral contrast'],0.3,210,gi bleed,gi bleed,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT occult GI bleed incl dual abdomen pelvis with and without contrast,[],[],1.0
gi bleed,dual liver,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT abdomen pelvis with and without contrast,[],['oral contrast'],0.3,211,gi bleed,gi bleed,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT occult GI bleed incl dual abdomen pelvis with and without contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,212,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,213,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
tcc,tcc,CT TCC protocol incl chest w MIPS and dual abd pel w wo,CT abdomen pelvis with contrast,[],['split'],0.8,214,tcc,tcc,CT TCC protocol incl chest w MIPS and dual abd pel w wo,CT TCC protocol incl chest w MIPS and dual abd pel w wo,[],[],1.0
trauma,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],[''],0.3,215,trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
noncon,noncon,CT abdomen pelvis without contrast,CT abdomen pelvis noncon,[],[],0.9,216,noncon,noncon,CT abdomen pelvis without contrast,CT abdomen pelvis without contrast,[],[],1.0
routine,crohns,CT abdomen pelvis with contrast,CT abdomen pelvis with enteric contrast,['oral contrast'],['enteric contrast'],0.3,217,routine,crohns,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['oral contrast'],[],0.4
renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol,[],[],0.9,218,renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol inc CT abd and pelvis wo contrast,[],[],1.0
noncon,noncon,CT chest abdomen pelvis without contrast with MIPS,CT chest abdomen pelvis with MIPS,['split'],['mips'],0.8,219,noncon,noncon,CT chest abdomen pelvis without contrast with MIPS,CT chest abdomen pelvis without contrast with MIPS,['split'],[],0.9
rcc,rcc,CT RCC protocol incl chest w MIPS and dual abd pel w wo,CT abdomen and chest with contrast,[],[''],0.8,220,rcc,rcc,CT RCC protocol incl chest w MIPS and dual abd pel w wo,CT RCC protocol incl chest w MIPS and dual abd pel w wo,[],[],1.0
gi bleed,dual liver,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT abdomen pelvis with and without contrast,[],['oral contrast'],0.3,221,gi bleed,gi bleed,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT occult GI bleed incl dual abdomen pelvis with and without contrast,[],[],1.0
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],['oral contrast'],0.8,222,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],[''],0.8,223,trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,224,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['oral contrast'],['oral contrast'],1.0,225,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['oral contrast'],['reroute coverage'],0.9
cirrhosis,cirrhosis,CT cirrhosis abdomen pelvis w contrast protocol,CT abdomen pelvis with contrast,[],[''],0.8,226,cirrhosis,cirrhosis,CT cirrhosis abdomen pelvis w contrast protocol,CT cirrhosis abdomen pelvis w contrast protocol,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['split'],['oral contrast'],0.9,227,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,['split'],[],0.9
trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],[''],0.8,228,trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
gi bleed,dual liver,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT abdomen pelvis with and without contrast,[],['oral contrast'],0.3,229,gi bleed,gi bleed,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT occult GI bleed incl dual abdomen pelvis with and without contrast,[],[],1.0
trauma,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],['oral contrast'],0.3,230,trauma,trauma,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[''],0.9,231,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol,[],[],0.9,232,renal stone,renal stone,CT renal stone protocol inc CT abd and pelvis wo contrast,CT renal stone protocol inc CT abd and pelvis wo contrast,[],[],1.0
gi bleed,dual liver,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT abdomen pelvis with and without contrast,[],['oral contrast'],0.3,233,gi bleed,gi bleed,CT occult GI bleed incl dual abdomen pelvis with and without contrast,CT occult GI bleed incl dual abdomen pelvis with and without contrast,[],[],1.0
routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast,[],['oral contrast'],0.8,234,routine,routine,CT chest abdomen pelvis with contrast w MIPS,CT chest abdomen pelvis with contrast w MIPS,[],[],1.0
routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],['oral contrast'],0.9,235,routine,routine,CT abdomen pelvis with contrast,CT abdomen pelvis with contrast,[],[],1.0
